,BSQ,,CSM,,EPB,,FF,,OH,,STB,
Clustering Type,f_para,f_carn,f_para,f_carn,f_para,f_carn,f_para,f_carn,f_para,f_carn,f_para,f_carn
consumer,0.75510,0.36842,0.69643,0.34211,0.54412,0.60000,0.80488,0.42105,0.94118,0.76667,0.65517,0.63265
resource,0.42857,0.63158,0.51786,0.50000,0.60294,0.46667,0.68293,0.26316,0.58824,0.43333,0.31034,0.57143
consumer-resource,0.36735,0.05263,0.46429,0.07895,0.45588,0.06667,0.70732,0.05263,0.29412,0.13333,0.31034,0.12245
resource-consumer,0.36735,0.05263,0.46429,0.07895,0.45588,0.06667,0.70732,0.05263,0.29412,0.13333,0.31034,0.12245
